"carat","clarity","color","cut","price"
0.71,"SI1","E","Premium",2629
1.4,"VS2","G","Ideal",10311
1.2,"VVS1","F","Good",11182
2.22,"SI2","J","Very Good",10662
1.02,"VVS1","E","Premium",11062
0.56,"VS1","G","Very Good",1912
0.72,"VS1","F","Premium",2802
0.31,"SI1","D","Very Good",571
1.11,"SI2","D","Ideal",6241
0.3,"VS1","H","Ideal",503
1.53,"VVS2","H","Premium",11982
0.9,"VS1","H","Premium",4234
0.62,"SI1","E","Ideal",1779
0.25,"VVS1","F","Very Good",633
0.3,"VS1","G","Very Good",605
0.57,"VS1","G","Ideal",1868
1.01,"SI2","D","Premium",4672
1.5,"SI2","G","Good",8190
0.9,"SI2","G","Very Good",3303
0.6,"SI2","E","Very Good",1250
0.41,"VS2","G","Very Good",827
1.04,"VS2","F","Ideal",8415
0.71,"SI1","F","Premium",2345
0.35,"VS2","D","Ideal",1063
0.3,"VVS2","H","Ideal",605
0.72,"SI2","F","Ideal",1743
0.35,"VS1","J","Premium",949
0.26,"IF","G","Ideal",605
0.71,"SI2","G","Premium",2147
1.25,"VS2","I","Premium",6084
0.31,"VS1","H","Ideal",698
0.71,"SI2","F","Premium",2409
0.74,"SI2","G","Ideal",2487
1.62,"SI2","E","Very Good",9355
1.03,"SI1","I","Premium",4362
1.2,"VS2","J","Ideal",4099
0.91,"SI1","H","Very Good",3710
0.38,"VS1","F","Premium",1117
0.28,"VS1","E","Very Good",487
1.01,"SI2","G","Very Good",3682
1.51,"VS2","E","Ideal",14482
1.2,"SI2","F","Very Good",4502
0.31,"VVS2","G","Ideal",687
1.01,"SI2","F","Good",4221
0.53,"IF","G","Ideal",2293
0.35,"SI2","I","Ideal",580
0.41,"VVS2","E","Ideal",1363
0.78,"SI2","G","Very Good",2759
0.39,"VS1","H","Premium",1009
0.44,"SI1","H","Ideal",1069
1.01,"VS2","F","Very Good",5988
1.24,"VS1","G","Very Good",9738
0.75,"VVS2","H","Very Good",3002
0.3,"VVS2","E","Ideal",766
0.33,"VVS2","G","Premium",752
0.31,"VVS2","D","Ideal",853
1.21,"SI2","E","Premium",6071
0.74,"SI1","D","Very Good",3138
0.8,"VS2","E","Good",3365
0.77,"VS2","I","Very Good",2513
0.37,"VS2","F","Premium",957
0.3,"VVS1","G","Premium",945
0.34,"VVS1","H","Premium",775
